,AX,BX,NX,EX,EPX,Element,Length,Value,s(m),AY,BY,NY,EY,EPY,DetR,#,DX,DPX,DY,DPY,BeamSizeXm,BeamSizeYm
NUIN,-2.4187,37.098,0.0,0.42373,0.07196,NUIN,0.0,0.0,0.0,0.178,5.45,0.0,0.0,0.0,0.0,1.0,-0.0005,3.2e-05,-0.0002,7.8e-05,0.0030343703016357413,0.0011933978616818922
LFT00,-2.4187,37.098,0.0,0.42373,0.07196,LFT00,1.4926,1.4926,0.0,0.178,5.45,0.0,0.0,0.0,0.0,2.0,-0.0005,3.2e-05,-0.0002,7.8e-05,0.0030343703016357413,0.0011933978616818922
CT01,-2.6943,44.7299,0.00583,0.5311,0.07196,CT01,0.0,0.0,1.4926,-0.10455,5.34037,0.04462,-0.00012,0.0,0.0,3.0,-0.0005,3.2e-05,-0.0001,7.8e-05,0.0033450660961033257,0.0011813568916982091
LFT01,-2.6943,44.7299,0.00583,0.5311,0.07196,LFT01,0.20577,0.2057678,1.4926,-0.10455,5.34037,0.04462,-0.00012,0.0,0.0,4.0,-0.0005,3.2e-05,-0.0001,7.8e-05,0.0033450660961033257,0.0011813568916982091
SSEM01,-2.7323,45.8465,0.00656,0.5459,0.07196,SSEM01,0.0,0.0,1.698368,-0.1435,5.39141,0.05072,-0.00013,0.0,0.0,5.0,-0.0005,3.2e-05,-0.0001,7.8e-05,0.0033882051031248546,0.0011869919852488294
LFT02,-2.7323,45.8465,0.00656,0.5459,0.07196,LFT02,0.14882,0.1488167,1.698368,-0.1435,5.39141,0.05072,-0.00013,0.0,0.0,6.0,-0.0005,3.2e-05,-0.0001,7.8e-05,0.0033882051031248546,0.0011869919852488294
ESM01,-2.7598,46.6639,0.00707,0.55661,0.07196,ESM01,0.0,0.0,1.847185,-0.17167,5.43831,0.05509,-0.00014,0.0,0.0,7.0,-0.0005,3.2e-05,-9e-05,7.8e-05,0.0034194456750358156,0.0011921461718304883
LFT03,-2.7598,46.6639,0.00707,0.55661,0.07196,LFT03,0.50548,0.5054819,1.847185,-0.17167,5.43831,0.05509,-0.00014,0.0,0.0,8.0,-0.0005,3.2e-05,-9e-05,7.8e-05,0.0034194456750358156,0.0011921461718304883
BPV1,-2.8532,49.5012,0.00874,0.59297,0.07196,BPV1,1.0,0.0,2.352666,-0.26736,5.66023,0.06962,-0.00018,0.0,0.0,9.0,-0.0004,3.2e-05,-5e-05,7.8e-05,0.0035258058290288984,0.0012162343444391502
LFT04,-3.0378,55.3922,0.01178,0.6649,0.07196,LFT04,3.84996,3.8499597,3.352666,-0.45666,6.38425,0.09621,-0.00026,0.0,0.0,10.0,-0.0004,3.2e-05,2.9e-05,7.8e-05,0.00373723847216431,0.0012916938321878805
