element            , elementID, length  , mark, type      , aperture_type, aperture_x, aperture_y, angle    , polelength, tilt     , zref, survey_offset               , geometry, blm, blm_offset_x, blm_offset_y, blm_offset_s, blm_orientation
entry_ff           , -1       ,    0.001, NA  , drift     , circular     ,   130     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
GV1                , 0        ,   98    , NA  , drift     , circular     ,   150     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
GV1d               , 1        ,  195    , NA  , drift     , circular     ,   150     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
CT4                , 2        ,  160    , 80  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
FCV1u_ff           , 3        ,   90    , NA  , drift     , circular     ,   146     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
FCV1_ff            , 4        ,  250    , 125 , drift     , circular     ,   146     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
bellows_FQ1u       , 5        ,  140    , NA  , drift     , circular     ,   146     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
QFQ1               , 6        , 2580    , 1275, quadrupole, circular     ,   123.4567,          0, 0        ,       2000, 0        , NA  , [[-965 0 418] [965 0 418]]  , true    ,   0,            0,            0,            0,               0
bellows_FQ1d       , 7        ,  140    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
ESM15              , 8        ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
SSEM14             , 9        ,  170    , 85  , ssem      , circular     ,   205     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
bellows_FV1u       , 10       ,  214    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
