element            , length  , mark, type      , aperture_type, aperture_x, aperture_y, geometry, yoke_size  , angle             , offset      , polelength, tilt     , zref, survey_name              , survey_offset                                                                , blm, blm_offset                                       , blm_orientation
entry              ,    0.001, NA  , drift     , circular     ,   130     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
QFP_side_duct      , 1099    , NA  , drift     , circular     ,   130     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
CT1_pipe           ,  300    , NA  , drift     , circular     ,   200     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
CT1                ,  200    , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
SSEM1              ,  170    , 85  , ssem      , circular     ,   205     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
ESM1               ,  126    , NA  , drift     , circular     ,   180     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
bellows_PV1u       ,  205.22 , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
BPV1               , 1600    , 750 , rbend     , rectangular  ,   134     ,        200, true    , [1015 1115], 0                 , NA          ,   1000    , 1.5707963, 500 , [PV11 PV12]              , [[-465 0 755] [465 0 755]]                                                   ,   2, [[-105 -295 -1348] [-63 -295 1142]]              , [perp perp]
bellows_PV1d       ,  350    , NA  , drift     , circular     ,   146     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
FCV1               ,  250    , NA  , drift     , circular     ,   146     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
duct_prep_FCV1d    ,  200    , NA  , drift     , circular     ,   146     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
ion_pump_2         ,  400    , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
bellows_PLGu       ,  350    , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
PLUG               , 1100    , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
bellows_PLGd       ,  590    , NA  , drift     , circular     ,   190     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
BPH2               , 1150    , 560 , rbend     , rectangular  ,   178     ,         78, true    , [780 730]  , 0                 , NA          ,    600    , 0        , -999, [PH21 PH22]              , [[-265 0 420] [265 0 420]]                                                   ,   1, [[-180 -300 715]]                                , [perp]
ESM2               ,  127    , NA  , drift     , circular     ,   180     ,          0, true    , NA         , 0                 , NA          ,      0    , 0        , 0   , NA                       , NA                                                                           ,   0, NA                                               , 0
