element, current, kval
BPD2, 0, -0.0328401
BPD2, 10, -0.0325839
BPD2, 20, -0.0323267
BPD2, 30, -0.0320687
BPD2, 40, -0.0318098
BPD2, 50, -0.0315501
BPD2, 60, -0.0312896
BPD2, 70, -0.0310283
BPD2, 80, -0.0307662
BPD2, 90, -0.0305034
BPD2, 100, -0.0302398
BPD2, 110, -0.0299755
BPD2, 120, -0.0297104
BPD2, 130, -0.0294447
BPD2, 140, -0.0291783
BPD2, 150, -0.0289112
BPD2, 160, -0.0286435
BPD2, 170, -0.0283752
BPD2, 180, -0.0281062
BPD2, 190, -0.0278367
BPD2, 200, -0.0275666
BPD2, 210, -0.0272959
BPD2, 220, -0.0270247
BPD2, 230, -0.026753
BPD2, 240, -0.0264807
BPD2, 250, -0.026208
BPD2, 260, -0.0259348
BPD2, 270, -0.0256611
BPD2, 280, -0.025387
BPD2, 290, -0.0251124
BPD2, 300, -0.0248375
BPD2, 310, -0.0245621
BPD2, 320, -0.0242864
BPD2, 330, -0.0240103
BPD2, 340, -0.0237339
BPD2, 350, -0.0234571
BPD2, 360, -0.02318
BPD2, 370, -0.0229027
BPD2, 380, -0.022625
BPD2, 390, -0.0223471
BPD2, 400, -0.0220689
BPD2, 410, -0.0217905
BPD2, 420, -0.0215118
BPD2, 430, -0.021233
BPD2, 440, -0.0209539
BPD2, 450, -0.0206747
BPD2, 460, -0.0203954
BPD2, 470, -0.0201158
BPD2, 480, -0.0198362
BPD2, 490, -0.0195564
BPD2, 500, -0.0192766
BPD2, 510, -0.0189966
BPD2, 520, -0.0187166
BPD2, 530, -0.0184366
BPD2, 540, -0.0181565
BPD2, 550, -0.0178763
BPD2, 560, -0.0175962
BPD2, 570, -0.0173161
BPD2, 580, -0.0170359
BPD2, 590, -0.0167559
BPD2, 600, -0.0164758
BPD2, 610, -0.0161958
BPD2, 620, -0.015916
BPD2, 630, -0.0156362
BPD2, 640, -0.0153565
BPD2, 650, -0.0150769
BPD2, 660, -0.0147974
BPD2, 670, -0.0145181
BPD2, 680, -0.014239
BPD2, 690, -0.01396
BPD2, 700, -0.0136813
BPD2, 710, -0.0134027
BPD2, 720, -0.0131243
BPD2, 730, -0.0128462
BPD2, 740, -0.0125683
BPD2, 750, -0.0122907
BPD2, 760, -0.0120134
BPD2, 770, -0.0117363
BPD2, 780, -0.0114596
BPD2, 790, -0.0111831
BPD2, 800, -0.010907
BPD2, 810, -0.0106312
BPD2, 820, -0.0103558
BPD2, 830, -0.0100807
BPD2, 840, -0.00980599
BPD2, 850, -0.00953168
BPD2, 860, -0.00925778
BPD2, 870, -0.0089843
BPD2, 880, -0.00871125
BPD2, 890, -0.00843864
BPD2, 900, -0.00816648
BPD2, 910, -0.00789479
BPD2, 920, -0.00762358
BPD2, 930, -0.00735286
BPD2, 940, -0.00708265
BPD2, 950, -0.00681296
BPD2, 960, -0.0065438
BPD2, 970, -0.00627518
BPD2, 980, -0.00600711
BPD2, 990, -0.00573961
BPD2, 1000, -0.00547269
BPD2, 1010, -0.00520636
BPD2, 1020, -0.00494063
BPD2, 1030, -0.00467552
BPD2, 1040, -0.00441104
BPD2, 1050, -0.00414719
BPD2, 1060, -0.003884
BPD2, 1070, -0.00362146
BPD2, 1080, -0.00335961
BPD2, 1090, -0.00309843
BPD2, 1100, -0.00283796
